variant,target_election,training_elections,predictors,predictor_count,preliminary_columns_enabled,target_excluded_from_fit,old_slot_predictors_used,consistent_scored_denominator,neutral_context_direct_adjustment,withdrawn_candidate_direct_adjustment,withdrawal_model_enabled,target_has_withdrawal_event,prior_withdrawal_elections,predictor_orthogonalization,raw_max_predictor_vif,standardized_coef_intercept,standardized_coef_issue_advantage,standardized_coef_partisan_prior,standardized_coef_landscape_bloc_alignment,standardized_coef_landscape_centrist,standardized_coef_landscape_inferred_prior,layer_config_ridge_alpha,layer_config_residual_enabled,layer_config_residual_scale,layer_config_residual_shrinkage,layer_config_neutral_context_scale,layer_config_overlay_gain,layer_config_conversion_scale,layer_config_district_terrain_scale,layer_config_within_bloc_transfer_scale,layer_config_within_bloc_reservoir_gain,layer_config_within_bloc_stronghold_gain,layer_config_regionalism_scale,layer_config_regional_anchor_strength,layer_config_third_competitiveness_gate_enabled,layer_config_third_character_multiplier_enabled,layer_config_manual_issue_seed_enabled,layer_config_automatic_issue_seed_enabled,candidate_stage
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,0,,1.0,0.5,0.0,0.24391138934094417,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,False,1,,1.007189012339913,0.42581384099107705,0.08190550299110129,0.1991740633473499,-0.05393752055610982,0.0905029561617935,-0.011444416160506683,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,1,,272.885426141393,0.3888888888888883,-0.21060755405159456,0.20269674704541152,0.11927986851863183,0.19323785722092257,0.015871408766503836,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,False,2,,17.275082892345043,0.4274376417233552,0.14767357368652476,0.20080317225785346,0.07221057868534311,-0.14763387706810593,0.01664141591460084,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,2,,11.149705188666465,0.39295977011494226,0.05097667760220821,0.1719244170705658,-0.015240739091636198,0.03210403069551046,0.00917691934508264,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,0,,1.0,0.5,0.0,0.24391138934094417,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,False,1,,1.007189012339913,0.42581384099107705,0.08190550299110129,0.1991740633473499,-0.05393752055610982,0.0905029561617935,-0.011444416160506683,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,1,,272.885426141393,0.3888888888888883,-0.21060755405159456,0.20269674704541152,0.11927986851863183,0.19323785722092257,0.015871408766503836,0.8,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,False,2,,17.275082892345043,0.4274376417233552,0.14767357368652476,0.20080317225785346,0.07221057868534311,-0.14763387706810593,0.01664141591460084,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,5,False,True,False,True,False,True,False,True,2,,11.149705188666465,0.39295977011494226,0.05097667760220821,0.1719244170705658,-0.015240739091636198,0.03210403069551046,0.00917691934508264,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,structural_stack
