issue_name,national_weight,local_weight,notes
economy_growth,0.70,0.30,mostly national macro frame with some local exposure
jobs_labor,0.45,0.55,employment has national and industrial-region effects
inflation_livelihood,0.70,0.30,national livelihood pressure
housing,0.55,0.45,national issue with stronger local price sensitivity
welfare_pension,0.55,0.45,national pledge with demographic/regional variation
security_nk,0.85,0.15,national security frame
foreign_policy,0.85,0.15,national foreign-policy frame
regional_dev,0.15,0.85,mainly local development sensitivity
education,0.45,0.55,local household and school sensitivity
gender_generation,0.65,0.35,generation cleavage mostly national
corruption_integrity,0.95,0.05,national accountability and scandal frame
family_legal_risk,0.95,0.05,candidate risk mostly national
candidate_competence,0.85,0.15,national candidate valence
regime_change,1.00,0.00,national regime-accountability axis
unification_event,0.80,0.20,national coalition/withdrawal event
withdrawal_event,0.80,0.20,national withdrawal event
endorsement_event,0.65,0.35,national endorsement with some regional context
gaffe_event,0.90,0.10,national risk event
external_shock,0.85,0.15,national shock frame
