issue_name,keywords,pos_keywords,neg_keywords,notes
economy_growth,투자|기업|경제성장|성장률|경제정책|규제완화|경제 성장|경제 회복|경제 활성화|성장 동력|잠재 성장률|기업 투자|민간 투자|설비 투자|규제 개혁|규제 혁신|산업 경쟁력|수출 경쟁력|내수 활성화|혁신 성장|신성장 산업|미래 산업|중소기업 지원,성장|회복|활성화,침체|위기|하락,
jobs_labor,일자리|고용|실업|청년실업|노동|비정규직|최저임금|청년 일자리|청년 고용|청년 실업|고용 창출|일자리 창출|양질의 일자리|노동 시장|노동 개혁|노동 시간|근로 시간|비정규직 처우|정규직 전환|임금 격차|최저 임금|산업 안전|노동 기본권|노사 관계,창출|확대|안정,감소|불안|악화,
inflation_livelihood,민생|물가|생활비|소상공인|자영업|체감경기|생활 물가|밥상 물가|물가 안정|물가 상승|생계비 부담|가계 부담|서민 경제|민생 경제|민생 안정|소상공인 지원|자영업 지원|골목 상권|전통 시장|에너지 요금|공공 요금|유류비 부담,안정|완화,급등|부담|폭등,
housing,부동산|집값|전세|주택공급|종부세|재건축|LTV|주택 공급|공공 주택|공공 임대|청년 주거|신혼부부 주거|전세 대책|전세 사기|전월세 안정|집값 안정|부동산 세제|보유세 부담|종합부동산세|대출 규제|주택 담보 대출|재건축 규제|재개발 규제|분양가 상한제,공급확대|안정,폭등|규제실패|급등,
welfare_pension,복지|의료|기초연금|국민연금|보육|돌봄|복지 확대|복지 재정|사회 안전망|기초 생활 보장|취약 계층|노인 복지|아동 복지|장애인 복지|국민 연금|연금 개혁|기초 연금|건강 보험|의료 보장|간병 부담|보육 지원|돌봄 서비스|출산 지원|저출생 대책,확대|강화,축소|삭감|부담,
security_nk,안보|평화|종전|대북|북핵|미사일|국방|북한 핵|북핵 위협|대북 정책|대북 제재|남북 관계|한반도 평화|종전 선언|평화 협정|군사 도발|미사일 도발|국방 개혁|전작권 전환|방위 태세|억제력 강화|군 복무|병사 월급,평화|대화|억지,도발|위협|불안,
foreign_policy,외교|동맹|한미동맹|한중|한일|사드|한미 동맹|한미 관계|한중 관계|한일 관계|대미 외교|대중 외교|대일 외교|외교 안보|경제 안보|공급망 외교|통상 외교|실용 외교|균형 외교|가치 외교|사드 배치|동맹 강화|국제 협력,강화|복원,갈등|마찰|굴욕,
regional_dev,지역|균형발전|행정수도|혁신도시|SOC|신공항|지역 균형 발전|국가 균형 발전|지역 발전|지역 소멸|지방 소멸|지방 분권|지방 재정|행정 수도|공공 기관 이전|혁신 도시|산업 단지|국가 산단|교통 인프라|광역 철도|고속 철도|공항 유치|신공항 건설|항만 개발|지역 공약,발전|유치|공약,소외|차별|무산,
education,교육|대학|입시|수능|사교육|등록금|교육 개혁|공교육 강화|사교육 부담|입시 제도|대입 제도|수능 개편|정시 확대|학생부 종합|대학 등록금|반값 등록금|교육 격차|지역 대학|지방 대학|대학 구조조정|직업 교육|평생 교육|돌봄 학교,개혁|경감,혼란|부담|폐지,
gender_generation,세대|남녀|2030|성평등|젠더|여가부|청년 세대|청년 정책|세대 갈등|세대 공정|이대남|이대녀|젠더 갈등|남녀 갈등|성 평등|여성 가족부|여가부 폐지|병역 공정|청년 주거|청년 자산|청년 기회|공정 경쟁,공정|통합,갈등|차별|혐오,
corruption_integrity,의혹|수사|비리|특혜|뇌물|로비|게이트|부패 의혹|권력 비리|측근 비리|정치 자금|불법 자금|금품 수수|인사 비리|채용 비리|개발 특혜|사업 특혜|로비 의혹|검찰 수사|경찰 수사|특검 수사|국정 조사|이해 충돌,해명|무혐의,의혹|연루|수사|구속,선거특수 스캔들 키워드는 선거별 추가
family_legal_risk,가족|배우자|아들|딸|학력|병역|위장전입|가족 의혹|배우자 의혹|자녀 의혹|아들 의혹|딸 의혹|학력 의혹|경력 의혹|논문 표절|위장 전입|부동산 의혹|재산 신고|병역 의혹|소송 리스크|법적 리스크|도덕성 검증,해명,논란|의혹|특혜,
candidate_competence,능력|경력|리더십|준비된|국정운영|국정 운영|정책 능력|행정 경험|정치 경험|위기 관리|위기 대응|경제 능력|외교 능력|통합 리더십|소통 능력|도덕성 검증|후보 검증|공약 이행|실행 능력|국정 비전|미래 비전,검증된|유능,무능|불통|준비부족,
regime_change,심판|회고|책임론|정권교체|정권연장|안정론|정권 교체|정권 연장|정권 재창출|정권 심판|정부 심판|국정 심판|여당 심판|야당 심판|정권 안정|국정 안정|심판론|안정론|교체 여론|정권 평가|국정 평가,교체|심판,실정|독선|무능,national_mood로도 작동
unification_event,연대|단일화|후보단일화|공동정부|후보 단일화|야권 단일화|여권 단일화|정책 연대|선거 연대|공동 정부|공동 공약|단일 후보|후보 통합|경선 합의|단일화 협상|단일화 결렬|단일화 선언,단일화|연대,결렬|파기,사건성
withdrawal_event,사퇴|불출마|후보직사퇴|중도하차|후보 사퇴|후보직 사퇴|대선 불출마|출마 포기|중도 하차|캠프 해산|선거 포기|사퇴 선언|후보 등록 포기,,사퇴|하차,사건성
endorsement_event,지지|지지선언|지원유세|연대선언|지지 선언|공개 지지|후보 지지|정치인 지지|단체 지지|지지 호소|지원 유세|찬조 연설|연대 선언|정책 지지|세력 결집,지지|연대,,사건성
gaffe_event,실언|막말|논란발언|설화|말실수|부적절 발언|문제 발언|논란 발언|혐오 발언|비하 발언|사과 발언|발언 논란|토론 논란|해명 논란|메시지 실수,사과,막말|실언|논란,사건성
external_shock,재난|전쟁|코로나|팬데믹|경제위기|금융위기|감염병 위기|방역 대책|코로나 대응|사회적 거리두기|백신 접종|재난 지원금|자연 재해|대형 사고|경제 위기|금융 위기|글로벌 위기|국제 유가|공급망 위기|전쟁 위기|우크라이나 전쟁,대응|극복,확산|위기|충격,
