variant,target_election,training_elections,predictors,predictor_count,preliminary_columns_enabled,target_excluded_from_fit,old_slot_predictors_used,consistent_scored_denominator,neutral_context_direct_adjustment,withdrawn_candidate_direct_adjustment,withdrawal_model_enabled,target_has_withdrawal_event,prior_withdrawal_elections,predictor_orthogonalization,raw_max_predictor_vif,standardized_coef_intercept,standardized_coef_issue_advantage,standardized_coef_rif,standardized_coef_partisan_prior,standardized_coef_landscape_bloc_alignment,standardized_coef_landscape_centrist,standardized_coef_landscape_inferred_prior,layer_config_ridge_alpha,layer_config_residual_enabled,layer_config_residual_scale,layer_config_residual_shrinkage,layer_config_neutral_context_scale,layer_config_overlay_gain,layer_config_conversion_scale,layer_config_district_terrain_scale,layer_config_within_bloc_transfer_scale,layer_config_within_bloc_reservoir_gain,layer_config_within_bloc_stronghold_gain,layer_config_regionalism_scale,layer_config_regional_anchor_strength,layer_config_third_competitiveness_gate_enabled,layer_config_third_character_multiplier_enabled,layer_config_manual_issue_seed_enabled,layer_config_automatic_issue_seed_enabled,candidate_stage
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.5,0.0,0.0,0.24391138934094417,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.007189012339913,0.425813840991077,0.05596214052599879,0.055962140526020304,0.19915439745604047,-0.05666271103500993,0.06315477168550787,-0.01144438847499912,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,1,,272.885426141393,0.3888888888888885,-0.13435288422073735,-0.1343528842207109,0.20276031335814598,0.12425067116689928,0.2459365621972108,0.015827303308820376,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,2,,17.275082892345043,0.4274376417233551,0.07590585589450767,0.0759058558944967,0.2008129490042173,0.07153772956628612,-0.1507101961533294,0.01659827020417133,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,2,,11.149705188666465,0.3929597701149423,0.025665849540077793,0.025665849540067964,0.17192502945254126,-0.015353321607514877,0.031967506203388375,0.009171257723158693,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.5,0.0,0.0,0.24391138934094417,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.007189012339913,0.425813840991077,0.05596214052599879,0.055962140526020304,0.19915439745604047,-0.05666271103500993,0.06315477168550787,-0.01144438847499912,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,1,,272.885426141393,0.3888888888888885,-0.13435288422073735,-0.1343528842207109,0.20276031335814598,0.12425067116689928,0.2459365621972108,0.015827303308820376,0.8,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,2,,17.275082892345043,0.4274376417233551,0.07590585589450767,0.0759058558944967,0.2008129490042173,0.07153772956628612,-0.1507101961533294,0.01659827020417133,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,2,,11.149705188666465,0.3929597701149423,0.025665849540077793,0.025665849540067964,0.17192502945254126,-0.015353321607514877,0.031967506203388375,0.009171257723158693,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,structural_stack
